"actor","repository_language","pushes"
"amoblin","CoffeeScript","47"
"paulmarrington","CoffeeScript","293"
"chenglou","CoffeeScript","181"
"sandy98","CoffeeScript","145"
"ruzz311","CoffeeScript","38"
"fauxparse","CoffeeScript","24"
"mikeyhu","CoffeeScript","62"
"ngn","CoffeeScript","425"
"sgentle","CoffeeScript","84"
"pwnall","CoffeeScript","330"
"Leonidas-from-XIV","CoffeeScript","36"
"consindo","CoffeeScript","113"
"martinheidegger","CoffeeScript","18"
"icydragoon","CoffeeScript","18"
"lianhanjin","CoffeeScript","88"
"muddydixon","CoffeeScript","26"
"TalLevAmi","CoffeeScript","23"
"jiangmiao","CoffeeScript","47"
"gr2m","CoffeeScript","148"
"tuukka","CoffeeScript","157"
"bshakr","CoffeeScript","45"
"mtc2013","CoffeeScript","11"
"kuntau","CoffeeScript","33"
"ben-sge","CoffeeScript","122"
"aaronsgh","CoffeeScript","13"
"dannyko","CoffeeScript","138"
"rmatesic","CoffeeScript","15"
"lmnelson","CoffeeScript","23"
"sslotsky","CoffeeScript","156"
"nunobaba","CoffeeScript","11"
"eventualbuddha","CoffeeScript","45"
"raykin","CoffeeScript","49"
"courcelan","CoffeeScript","16"
"morgoth","CoffeeScript","126"
"plepers","CoffeeScript","53"
"strathausen","CoffeeScript","44"
"gduarte","CoffeeScript","86"
"kaofelix","CoffeeScript","24"
"gcs272","CoffeeScript","13"
"xaviervia","CoffeeScript","21"
"estebanvaras","CoffeeScript","15"
"chrispitt","CoffeeScript","77"
"bvsn","CoffeeScript","117"
"davidqin","CoffeeScript","38"
"duylam","CoffeeScript","14"
"mozzenior","CoffeeScript","13"
"paulkarabilo","CoffeeScript","54"
"rs","CoffeeScript","149"
"roman-neuhauser","CoffeeScript","74"
"adamico","CoffeeScript","108"
"bjourne","CoffeeScript","20"
"soberstadt","CoffeeScript","27"
"lambacck","CoffeeScript","18"
"matthiasg","CoffeeScript","71"
"pipedreambomb","CoffeeScript","71"
"psndcsrv","CoffeeScript","194"
"DaQuirm","CoffeeScript","15"
"crackcomm","CoffeeScript","88"
"seifertd","CoffeeScript","69"
"technicalpickles","CoffeeScript","171"
"scivey","CoffeeScript","27"
"ConradIrwin","CoffeeScript","21"
"jonahkagan","CoffeeScript","107"
"xiaocong","CoffeeScript","41"
"hurley87","CoffeeScript","42"
"patcon","CoffeeScript","72"
"sdaves","CoffeeScript","11"
"aroldan","CoffeeScript","15"
"Beyamor","CoffeeScript","48"
"elf-pavlik","CoffeeScript","95"
"niallfallon","CoffeeScript","319"
"petebot","CoffeeScript","15"
"mdevils","CoffeeScript","48"
"bhennes2","CoffeeScript","60"
"Philipp15b","CoffeeScript","38"
"gwenbell","CoffeeScript","348"
"horejsek","CoffeeScript","34"
"sectioneight","CoffeeScript","53"
"Goutte","CoffeeScript","43"
"tnehil","CoffeeScript","36"
"Kepzorz","CoffeeScript","13"
"zephod","CoffeeScript","25"
"drewbarontini","CoffeeScript","340"
"albuick","CoffeeScript","32"
"vollnhals","CoffeeScript","12"
"iHiD","CoffeeScript","33"
"meatballhat","CoffeeScript","13"
"LBRapid","CoffeeScript","78"
"sakren","CoffeeScript","507"
"gammons","CoffeeScript","15"
"imankulov","CoffeeScript","14"
"radekstepan","CoffeeScript","389"
"Bjwebb","CoffeeScript","178"
"malgorithms","CoffeeScript","102"
"Anachron","CoffeeScript","14"
"kotaroshima","CoffeeScript","176"
"zcbenz","CoffeeScript","43"
"kaosat-dev","CoffeeScript","76"
"jessepollak","CoffeeScript","29"
"andreypopp","CoffeeScript","393"
"steve8708","CoffeeScript","40"
"smidwap","CoffeeScript","17"
"LaurentGoderre","CoffeeScript","37"
"molefrog","CoffeeScript","78"
"gmanricks","CoffeeScript","10"
"macrozone","CoffeeScript","67"
"maikudou","CoffeeScript","21"
"rikukissa","CoffeeScript","171"
"jarrettmeyer","CoffeeScript","33"
"yi","CoffeeScript","146"
"dristic","CoffeeScript","98"
"albus522","CoffeeScript","42"
"johndavidge","CoffeeScript","14"
"BlancaTortajada","CoffeeScript","24"
"automatthew","CoffeeScript","121"
"giuliandrimba","CoffeeScript","57"
"Plou","CoffeeScript","24"
"clint-tseng","CoffeeScript","140"
"tuvistavie","CoffeeScript","144"
"chriskjaer","CoffeeScript","11"
"dannydb","CoffeeScript","56"
"rizowski","CoffeeScript","29"
"sapegin","CoffeeScript","65"
"CorySimmons","CoffeeScript","25"
"GlitchMr","CoffeeScript","115"
"wgreenberg","CoffeeScript","15"
"yourcelf","CoffeeScript","297"
"mgarbacz","CoffeeScript","78"
"joshk","CoffeeScript","35"
"hiddentao","CoffeeScript","68"
"vamf12","CoffeeScript","15"
"fabsor","CoffeeScript","77"
"mren","CoffeeScript","24"
"k0nserv","CoffeeScript","18"
