"repository_language","actor_attributes_location","loccnt"
"Python","Rio de Janeiro, Brazil","4042"
"Shell","Portland, OR","4040"
"Ruby","Houston, TX","4021"
"Python","Prague, Czech Republic","4017"
"Java","Montpellier, France","4012"
"Ruby","Hannover, Germany","4008"
"Ruby","Orlando, FL","3998"
"Ruby","Austin, Texas","3998"
"Ruby","Hangzhou, China","3981"
"Python","Indianapolis, IN","3976"
"Python","Bethesda, MD USA","3966"
"C++","Rensselaer, NY","3963"
"Java","Sydney, Australia","3962"
"Ruby","Kharkiv, UA","3961"
"Ruby","Karlsruhe, Germany","3958"
"PHP","Miami, FL USA","3950"
"Python","Toronto, Canada","3938"
"PHP","Palo Alto, CA","3935"
"Objective-C","Manila, Philippines","3933"
"Python","Warsaw, Poland","3931"
"Java","Edinburgh, UK","3915"
"Python","Helsinki, Finland","3914"
"Ruby","Indianapolis, IN","3900"
"C","Vienna, Austria","3898"
"Objective-C","Brooklyn, NY","3892"
"C++","Russia, Moscow","3885"
"Java","Denver, CO","3884"
"Ruby","New Delhi, India","3881"
"JavaScript","Porto, Portugal","3876"
"Python","Bergen, Norway","3876"
"Objective-C","Chicago, IL","3872"
"Java","Prague, Czech Republic","3872"
"PHP","Perth, Western Australia","3870"
"C#","Melbourne, Australia","3854"
"JavaScript","New Delhi, India","3848"
"JavaScript","Seoul, South Korea","3846"
"Ruby","Sofia, Bulgaria","3845"
"C","Nashville, AR","3818"
"Shell","Stockholm, Sweden","3802"
"JavaScript","Stuttgart, Germany","3794"
"Ruby","Birmingham, AL","3780"
"Python","Lawrence, KS","3779"
"JavaScript","Tallinn, Estonia","3774"
"JavaScript","Arlington, VA","3753"
"Ruby","Montreal, Canada","3750"
"Python","Vienna, Austria","3750"
"JavaScript","Edinburgh, Scotland","3748"
"JavaScript","Lausanne, Switzerland","3742"
"PHP","Wuppertal, Germany","3738"
"JavaScript","Columbus, Ohio","3728"
"Java","Boulder, CO","3727"
"Objective-C","London, UK","3721"
"JavaScript","Somerville, MA","3715"
"Java","Moscow, Russia","3706"
"Java","Grenoble, France","3699"
"PHP","Bristol, UK","3698"
"JavaScript","Newcastle upon Tyne, UK","3696"
"PHP","Minneapolis, MN","3680"
"Python","Toulouse, France","3678"
"Python","Taipei, Taiwan","3663"
"JavaScript","Amsterdam, Netherlands","3662"
"Ruby","Russia, Moscow","3640"
"Ruby","Cologne, Germany","3639"
"C++","Toulouse, France","3634"
"Java","Rennes, France","3627"
"Java","Pittsburgh, PA","3626"
"JavaScript","Richmond, VA","3625"
"JavaScript","Chicago, Illinois","3622"
"JavaScript","Kansas City, MO","3619"
"Objective-C","Tokyo, Japan","3617"
"JavaScript","Lisbon, Portugal","3614"
"PHP","Birmingham, UK","3610"
"PHP","Fairfax, VA","3597"
"C","Portland, Oregon","3596"
"JavaScript","San Antonio, TX","3594"
"Python","Copenhagen, Denmark","3594"
"Ruby","Cleveland, OH","3580"
"PHP","Russia, Moscow","3579"
"JavaScript","Marion, IL","3556"
"JavaScript","Oxford, UK","3549"
"C","Ann Arbor, MI","3547"
"C++","Munich, Germany","3528"
"PHP","Philadelphia, PA","3523"
"Ruby","Amsterdam, The Netherlands","3516"
"PHP","Budapest, Hungary","3514"
"PHP","Stockholm, Sweden","3511"
"PHP","Auckland, NZ","3491"
"Shell","Austin, Tx","3485"
"Ruby","Belarus, Minsk","3480"
"C++","Boston, MA","3480"
"Java","Michigan, USA","3480"
"Ruby","Blacksburg, VA","3473"
"C++","Coventry, UK","3466"
"Python","Brno, Czech Republic","3462"
"Shell","Sydney, Australia","3458"
"JavaScript","Grand Rapids, MI","3452"
"C","Edinburgh, Scotland","3450"
"C","Yokohama, Japan","3437"
"PHP","Brisbane, Australia","3430"
"Objective-C","Vienna, Austria","3430"
"JavaScript","San Rafael, CA","3420"
"Java","Dublin, Ireland","3419"
"Java","Lille, France","3418"
"C","Shanghai, China","3417"
"PHP","Canberra, Australia","3412"
"Java","Guanajuato, Mexico","3411"
"JavaScript","New York ,NY","3389"
"PHP","Cambridge, MA","3388"
"Java","Lausanne, Switzerland","3383"
"JavaScript","Montevideo, Uruguay","3382"
"PHP","Vancouver, Canada","3380"
"JavaScript","Ontario, Canada","3362"
"C++","Hamburg, Germany","3361"
"C++","Providence, RI","3359"
"Java","Miami, FL","3354"
"Ruby","Gothenburg, Sweden","3349"
"JavaScript","Milwaukee, WI","3338"
"Java","Auckland, New Zealand","3329"
"PHP","Munich, Germany","3324"
"Shell","Los Angeles, CA","3314"
"PHP","La Rochelle, France","3313"
"JavaScript","Tempe, AZ","3299"
"JavaScript","Southampton, UK","3292"
"Java","Tucson, AZ","3273"
"PHP","Edinburgh, Scotland","3269"
"JavaScript","Brno, Czech Republic","3268"
"Ruby","Tempe, AZ","3266"
"JavaScript","Tel Aviv, Israel","3262"
"JavaScript","Bern, Switzerland","3258"
"Python","Espoo, Finland","3258"
"JavaScript","Fairfax, VA","3252"
"JavaScript","Gothenburg, Sweden","3251"
"Python","Manchester, UK","3249"
"C","Cambridge, UK","3246"
"PHP","Columbus, OH","3244"
"Python","Nashville, TN","3242"
"JavaScript","Milan, Italy","3241"
"Ruby","Manila, Philippines","3239"
"Java","Milan, Italy","3231"
"PHP","Madison, WI","3222"
"Java","Cologne, Germany","3220"
"Ruby","New York, New York","3218"
"JavaScript","Augsburg, Germany","3214"
"JavaScript","Geneva, Switzerland","3209"
"JavaScript","Lille, France","3194"
"Java","Vancouver, Canada","3190"
"PHP","Dallas, TX","3178"
"Java","Hangzhou, China","3178"
"JavaScript","Leeds, UK","3176"
"PHP","Toronto, ON","3175"
"JavaScript","Nairobi, Kenya","3163"
"Shell","Brisbane, Australia","3163"
"C","Sofia, Bulgaria","3161"
"Java","Orlando, FL","3155"
"Ruby","Cape Town, South Africa","3148"
"JavaScript","Hannover, Germany","3146"
"C++","Sunnyvale, CA","3145"
"Python","Bonn, Germany","3144"
"JavaScript","Shanghai,China","3142"
"JavaScript","Nice, France","3138"
"PHP","Farnham, UK","3133"
"Java","Madison, WI","3126"
"Java","Dallas, TX","3124"
"C","Amsterdam, NL","3116"
"Python","Adelaide, Australia","3112"
"JavaScript","Oulu, Finland","3107"
"C++","Kiev, Ukraine","3099"
"JavaScript","Aptos, CA","3090"
"C","Vancouver, BC","3085"
"Java","Hanoi, Vietnam","3081"
"C","Warsaw, Poland","3081"
"JavaScript","Ottawa, ON","3080"
"JavaScript","Dresden, Germany","3079"
"JavaScript","SF Bay Area, CA","3077"
"Shell","Warsaw, Poland","3076"
"PHP","Dublin, Ireland","3073"
"JavaScript","Orange County, CA","3072"
"Java","Russia, Moscow","3072"
"JavaScript","Canberra, Australia","3066"
"PHP","Santiago, Chile","3057"
"JavaScript","Buffalo, NY","3054"
"PHP","Manchester, UK","3053"
"Java","Ontario, Canada","3053"
"Shell","Prague, Czech Republic","3052"
"Python","Oakland, CA","3049"
"PHP","New Jersey, USA","3042"
"Java","Portland, Oregon","3040"
"JavaScript","Providence, RI","3037"
"C#","Redmond, WA","3033"
"PHP","Portland, Oregon","3031"
"Ruby","Denver, Colorado","3024"
"Python","Wellington, New Zealand","3020"
"Ruby","Athens, Greece","3009"
"Ruby","Ottawa, Canada","2998"
"Python","Austin, Texas","2996"
"PHP","Vejle, Denmark","2975"
"JavaScript","Istanbul, Turkey","2972"
"Python","Providence, RI","2965"
"C#","Dublin, Ireland","2965"
"Python","Exeter, UK","2964"
"Python","Hangzhou, China","2961"
"Objective-C","Austin, TX","2959"
"C++","Brooklyn, New York","2959"
"JavaScript","Pune, India","2958"
"Java","Philadelphia, PA","2954"
"Ruby","Orem, UT","2954"
"PHP","Orlando, FL","2949"
"JavaScript","York, UK","2944"
"PHP","Montreal, QC","2942"
"Java","San Francisco, California","2941"
"JavaScript","Charleston, SC","2924"
"Objective-C","Melbourne, Australia","2919"
"Ruby","Pasadena, CA","2919"
"PHP","Ukraine, Kiev","2915"
"C++","Cologne, DE","2915"
"Shell","Cambridge, UK","2914"
"Ruby","Burlington, VT","2910"
"Shell","Hamburg, Germany","2906"
"Ruby","Phoenix, AZ","2905"
"C++","Atlanta, GA","2902"
"Ruby","Brno, Czech Republic","2897"
"PHP","Bandung, Indonesia","2887"
"PHP","Bangalore, India","2885"
"Python","Cologne, Germany","2879"
"PHP","Tehran, Iran","2876"
"Python","Montevideo, Uruguay","2876"
"JavaScript","Salt Lake City, UT","2871"
"Python","Amsterdam, The Netherlands","2869"
"C","Maryland, United States","2869"
"Python","Yekaterinburg, RU","2868"
"Python","Stellenbosch, South Africa","2867"
"Python","Nairobi, Kenya","2866"
"Python","Durham, NC","2860"
"PHP","Stuttgart, Germany","2860"
"Java","Bern, Switzerland","2855"
"Ruby","Amsterdam, the Netherlands","2854"
"Python","Stanford, CA","2854"
"JavaScript","Columbia, MO","2840"
"Python","Minsk, Belarus","2837"
"Ruby","Buffalo, NY","2836"
"Ruby","Budapest, Hungary","2833"
"C++","Menlo Park, CA","2832"
"Shell","Moscow, Russia","2831"
"C#","Brisbane, Australia","2831"
"C","Alabama, United States","2822"
"PHP","Rotterdam, The Netherlands","2820"
"Shell","Shanghai, China","2813"
"C#","Paris, France","2812"
